eatery_name,eatery_address,eatery_rating,City
Suganya's Thai Restaurant,"2/11 Ireland St, Bright VIC 3741, Australia",4.2,BRIGHT
The Riverdeck Kitchen,"16 Howitt Ln, Bright VIC 3741, Australia",4.2,BRIGHT
Bright Chinese Restaurant,"108 Gavan St, Bright VIC 3741, Australia",3.5,BRIGHT
Elm Dining,"98 Gavan St, Bright VIC 3741, Australia",4.6,BRIGHT
Alpine Hotel Bright,"7-9 Anderson St, Bright VIC 3741, Australia",4,BRIGHT
Wild Thyme Cafe Bright,"3 Ireland St, Bright VIC 3741, Australia",4.6,BRIGHT
Bright Cafe,"1/6-8 Ireland St, Bright VIC 3741, Australia",3.9,BRIGHT
Tomahawks,"15 Camp St, Bright VIC 3741, Australia",4.8,BRIGHT
Coral Lee,"8 Barnard St, Bright VIC 3741, Australia",4.3,BRIGHT
Ginger Baker Wine Bar & Café,"127 Great Alpine Rd, Bright VIC 3741, Australia",3.9,BRIGHT
Blackbird Cafe,"95 Gavan St, Bright VIC 3741, Australia",4.3,BRIGHT
Food Wine Friends,"2/6 Ireland St, Bright VIC 3741, Australia",4.7,BRIGHT
Burgerville Bright,"87 Gavan St, Bright VIC 3741, Australia",4.4,BRIGHT
Katsu,"9 Barnard St, Bright VIC 3741, Australia",4.6,BRIGHT
Riverdeck cafe,"7 Barberry Ct, Bright VIC 3741, Australia",0,BRIGHT
Cherry Walk Cafe,"6 Anderson St, Bright VIC 3741, Australia",4.4,BRIGHT
Bright Takeaway,"30 Ireland St, Bright VIC 3741, Australia",3.5,BRIGHT
Dr Mauve Bar And Lounge,"100 Gavan St, Bright VIC 3741, Australia",4.6,BRIGHT
Reed & Co. Distillery,"15 Wills St, Bright VIC 3741, Australia",4.7,BRIGHT
Dumu Balcony Cafe,"4 Ireland St, Bright VIC 3741, Australia",4.3,BRIGHT
Sicilians Bar & Restaurant,"102 Barkly St, Ararat VIC 3377, Australia",4.1,ARARAT
Ararat Family Restaurant,"8475 Western Hwy, Ararat VIC 3377, Australia",3.4,ARARAT
